question_id,question,generated_answers,mu,sigma,se_before,se_after_samples,se_mean,se_std,delta_se,mean_noise,correctness,correctness_bool,se_after_len
qw_11463--117/117_93387.txt#0_0,What is the name for a natural satellite that orbits a planet?,"['What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? MOON', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon']",0.0,0.5,-0.0,"[-2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, 2.2204460492503128e-16, -0.0, -0.0, -0.0, 1.1102230246251565e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -4.440892098500627e-16, 2.2204460492503128e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -0.0, -0.0, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, 1.1102230246251565e-16, -4.440892098500627e-16, 3.330669073875469e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, 2.2204460492503128e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -0.0, 2.2204460492503128e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -0.0, -4.440892098500627e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, 2.2204460492503128e-16, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, 1.1102230246251565e-16, 3.330669073875469e-16, 2.2204460492503128e-16, -4.440892098500627e-16, 1.1102230246251565e-16, -0.0, -4.440892098500627e-16, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, -0.0, -4.440892098500627e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0]",-6.439293542825907e-17,1.7776054015095463e-16,-6.439293542825907e-17,-5.589571446766323e-05,1,True,100
qw_11463--117/117_93387.txt#0_0,What is the name for a natural satellite that orbits a planet?,"['What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? MOON', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon']",0.0,1.0,-0.0,"[-0.0, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, -4.440892098500627e-16, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, 2.2204460492503128e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, 1.1102230246251565e-16, -0.0, -0.0, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, 3.330669073875469e-16, -4.440892098500627e-16, -0.0, 1.1102230246251565e-16, 1.1102230246251565e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, 1.1102230246251565e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -0.0, 2.2204460492503128e-16, -2.220446049250313e-16, -0.0, 2.2204460492503128e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, 2.2204460492503128e-16, 1.1102230246251565e-16, 4.4408920985006257e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, 2.2204460492503128e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, 2.2204460492503128e-16, 1.1102230246251565e-16, -4.440892098500627e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, 2.2204460492503128e-16, -0.0]",-3.9968028886505634e-17,1.7308088535643655e-16,-3.9968028886505634e-17,-0.000523777193468668,1,True,100
qw_11463--117/117_93387.txt#0_0,What is the name for a natural satellite that orbits a planet?,"['What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? MOON', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon']",0.0,2.0,-0.0,"[1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, 1.1102230246251565e-16, -4.440892098500627e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, 1.1102230246251565e-16, -0.0, -0.0, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -0.0, -0.0, -0.0, 1.1102230246251565e-16, -0.0, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.2204460492503128e-16, -0.0, -0.0, -0.0, -0.0, 2.2204460492503128e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -4.440892098500627e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -4.440892098500627e-16, 1.1102230246251565e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -4.440892098500627e-16, -0.0, -2.220446049250313e-16, 2.2204460492503128e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16]",-7.771561172376095e-17,1.5343587468447387e-16,-7.771561172376095e-17,0.00028867252801715134,1,True,100
qw_11463--117/117_93387.txt#0_0,What is the name for a natural satellite that orbits a planet?,"['What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? MOON', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon']",0.5,0.5,-0.0,"[-2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, 2.2204460492503128e-16, -2.220446049250313e-16, 1.1102230246251565e-16, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, -0.0, 2.2204460492503128e-16, -0.0, -0.0, -2.220446049250313e-16, 2.2204460492503128e-16, 1.1102230246251565e-16, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -0.0, -2.220446049250313e-16, -4.440892098500627e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -4.440892098500627e-16, -0.0, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, 2.2204460492503128e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -4.440892098500627e-16, 2.2204460492503128e-16, -2.220446049250313e-16, 1.1102230246251565e-16, 2.2204460492503128e-16, -0.0, -0.0, 3.330669073875469e-16, -2.220446049250313e-16, -2.220446049250313e-16, -4.440892098500627e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -0.0, 2.2204460492503128e-16, 2.2204460492503128e-16, -0.0, 2.2204460492503128e-16, -4.440892098500627e-16, 1.1102230246251565e-16]",-5.2180482157382354e-17,1.7515857454682407e-16,-5.2180482157382354e-17,0.5000170036886492,1,True,100
qw_11463--117/117_93387.txt#0_0,What is the name for a natural satellite that orbits a planet?,"['What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? MOON', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon']",0.5,1.0,-0.0,"[-0.0, 1.1102230246251565e-16, 2.2204460492503128e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, 2.2204460492503128e-16, 1.1102230246251565e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -4.440892098500627e-16, -2.220446049250313e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -0.0, -4.440892098500627e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -4.440892098500627e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -0.0, -4.440892098500627e-16, -0.0, -0.0, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, 2.2204460492503128e-16, 2.2204460492503128e-16, -2.220446049250313e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, -4.440892098500627e-16, 1.1102230246251565e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -2.220446049250313e-16, -4.440892098500627e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -4.440892098500627e-16, 1.1102230246251565e-16, -0.0]",-7.327471962526034e-17,1.7778827406798916e-16,-7.327471962526034e-17,0.49996241787654283,1,True,100
qw_11463--117/117_93387.txt#0_0,What is the name for a natural satellite that orbits a planet?,"['What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? MOON', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon']",0.5,2.0,-0.0,"[-0.0, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -0.0, -0.0, 1.1102230246251565e-16, 2.2204460492503128e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -0.0, 3.330669073875469e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -4.440892098500627e-16, -0.0, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",-4.773959005888173e-17,1.3889329327993832e-16,-4.773959005888173e-17,0.49939502604322944,1,True,100
qw_11463--117/117_93387.txt#0_0,What is the name for a natural satellite that orbits a planet?,"['What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? MOON', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon']",1.0,0.5,-0.0,"[-2.220446049250313e-16, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, 3.330669073875469e-16, -0.0, -0.0, -0.0, 2.2204460492503128e-16, -0.0, 1.1102230246251565e-16, -0.0, 1.1102230246251565e-16, -0.0, 1.1102230246251565e-16, -4.440892098500627e-16, 1.1102230246251565e-16, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -0.0, -4.440892098500627e-16, -2.220446049250313e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, 1.1102230246251565e-16, 2.2204460492503128e-16, -4.440892098500627e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -4.440892098500627e-16, 1.1102230246251565e-16, -0.0, -4.440892098500627e-16, 2.2204460492503128e-16, -0.0, 1.1102230246251565e-16, -0.0, -4.440892098500627e-16, -0.0, 2.2204460492503128e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, -4.440892098500627e-16, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -0.0, -0.0, 1.1102230246251565e-16, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, 1.1102230246251565e-16, -0.0, -0.0, -2.220446049250313e-16, -4.440892098500627e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -0.0]",-4.6629367034256585e-17,1.7355026775395585e-16,-4.6629367034256585e-17,1.000031408006513,1,True,100
qw_11463--117/117_93387.txt#0_0,What is the name for a natural satellite that orbits a planet?,"['What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? MOON', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon']",1.0,1.0,-0.0,"[-2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, 2.2204460492503128e-16, 1.1102230246251565e-16, 2.2204460492503128e-16, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -0.0, -0.0, -0.0, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -4.440892098500627e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -4.440892098500627e-16, -4.440892098500627e-16, -2.220446049250313e-16, -0.0, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -4.440892098500627e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -4.440892098500627e-16, 1.1102230246251565e-16, 2.2204460492503128e-16, 1.1102230246251565e-16, -2.220446049250313e-16, 1.1102230246251565e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -0.0, 1.1102230246251565e-16, -0.0, -0.0, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, 2.2204460492503128e-16, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16]",-6.550315845288423e-17,1.6399388370367495e-16,-6.550315845288423e-17,1.000045255784475,1,True,100
qw_11463--117/117_93387.txt#0_0,What is the name for a natural satellite that orbits a planet?,"['What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? MOON', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon']",1.0,2.0,-0.0,"[-0.0, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -0.0, 2.2204460492503128e-16, 1.1102230246251565e-16, -0.0, 1.1102230246251565e-16, 1.1102230246251565e-16, -0.0, 2.2204460492503128e-16, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, -0.0, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -0.0, -0.0, 1.1102230246251565e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -0.0, 2.2204460492503128e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, 2.2204460492503128e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, 2.2204460492503128e-16, -0.0, -0.0, -0.0, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16]",-3.663735981263017e-17,1.323495745418159e-16,-3.663735981263017e-17,0.9999552206659471,1,True,100
qw_11463--117/117_93387.txt#0_0,What is the name for a natural satellite that orbits a planet?,"['What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? MOON', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon', 'What is the name for a natural satellite that orbits a planet? moon']",2.0,0.5,-0.0,"[1.1102230246251565e-16, -2.220446049250313e-16, -4.440892098500627e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -0.0, -0.0, 2.2204460492503128e-16, -0.0, -0.0, -0.0, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, 2.2204460492503128e-16, 1.1102230246251565e-16, -0.0, -0.0, -0.0, -0.0, 2.2204460492503128e-16, -0.0, -2.220446049250313e-16, 2.2204460492503128e-16, -4.440892098500627e-16, -0.0, 2.2204460492503128e-16, -2.220446049250313e-16, -0.0, -2.220446049250313e-16, -2.220446049250313e-16, 1.1102230246251565e-16, 1.1102230246251565e-16, -4.440892098500627e-16, -0.0, 2.2204460492503128e-16, -0.0, -0.0, 1.1102230246251565e-16, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, -0.0, -0.0, -4.440892098500627e-16, 2.2204460492503128e-16, -0.0, 1.1102230246251565e-16, -4.440892098500627e-16, -2.220446049250313e-16, -2.220446049250313e-16, -0.0, -0.0, -0.0, -0.0, -2.220446049250313e-16, -0.0, 4.4408920985006257e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, -2.220446049250313e-16, -4.440892098500627e-16, 1.1102230246251565e-16, -0.0, -0.0, 1.1102230246251565e-16, -0.0, 1.1102230246251565e-16, -0.0, -2.220446049250313e-16, 1.1102230246251565e-16, -2.220446049250313e-16, -0.0, -0.0, 2.2204460492503128e-16, -0.0, -0.0, -0.0, -2.220446049250313e-16, -0.0, -0.0, -0.0, 4.4408920985006257e-16, -0.0, -0.0, -0.0, -0.0, -0.0, 1.1102230246251565e-16, -2.220446049250313e-16, -2.220446049250313e-16, 2.2204460492503128e-16, -0.0, 1.1102230246251565e-16]",-2.4424906541753447e-17,1.8078576652888925e-16,-2.4424906541753447e-17,2.000046974695004,1,True,100
