question_id,mu,sigma,se_before,se_after_samples,se_mean,se_std,delta_se,mean_noise,correctness,correctness_bool,se_after_len
bt_4353--105/105_2445487.txt#0_0,0,0.5,1.358333035,"[1.3013970171471958, 1.3384213945810797, 1.347190608031778, 1.3559953846962522, 1.324227392904471, 1.3638138241042537, 1.2705444920197364, 1.2952355489564014, 1.3659751123194028, 1.34995537006886, 1.3835826969971945, 1.3837032385704584, 1.3033224538506814, 1.3848001318264787, 1.3400478969136793, 1.2661225060633488, 1.3370919907135368, 1.3187350271639215, 1.287886186882366, 1.3404647208300957, 1.3776227099748604, 1.3413455149991862, 1.3638178334776525, 1.3298733577352881, 1.319590366434983, 1.4199092310404657, 1.4125995219704912, 1.3831424713663005, 1.3530893628095926, 1.3020664492608494, 1.4746734344967725, 1.3288602101093692, 1.3807603726478845, 1.3254025592833254, 1.3408967919973616, 1.3032618468855781, 1.2699442089101605, 1.3541105800568, 1.275699555320517, 1.2724681412976038, 1.3880641108331204, 1.3628342750563156, 1.3189559989135768, 1.369862967816008, 1.3674134731220833, 1.2926652288279274, 1.362086709916069, 1.3676485323233416, 1.3667061408009487, 1.2825920149074328, 1.321878199881003, 1.3773492921259325, 1.3990198428069212, 1.2850066095124155, 1.2878614520330562, 1.306158604775747, 1.3316880421697233, 1.4019258339147957, 1.3403458544094575, 1.3466401748535213, 1.359695662843346, 1.288506956983062, 1.4158231612943124, 1.3528245044166751, 1.3991819029725798, 1.317766364938913, 1.3154497540366052, 1.3718560942309364, 1.358052494120549, 1.3075027796030143, 1.332255205705743, 1.3603441994368337, 1.3192553967934402, 1.3376359961634137, 1.3763460587364988, 1.3137495689105174, 1.4240180474629276, 1.3264343830115983, 1.3558392183328092, 1.4325039467276885, 1.3976247940454807, 1.3568993238925002, 1.3178051875432968, 1.3750741330609801, 1.3605838186276304, 1.3354814611525225, 1.3628339569571084, 1.2573338063256603, 1.3761049423582106, 1.4033154935491048, 1.3996229071747597, 1.3208062738191002, 1.4440276926923785, 1.3573016651839338, 1.3135806300495454, 1.3637518663377879, 1.3578268991993319, 1.3561594732339248, 1.2867858482792556, 1.4229860267063323]",1.346952988,0.042723081,-0.011380047,0.002609839,0,FALSE,100
bt_4353--105/105_2445487.txt#0_0,0,1,1.358333035,"[1.4095647072951136, 1.1086457195983954, 1.3293268898063777, 1.3238672225750359, 1.3648468634060618, 1.3093808608447017, 1.1771817126744337, 1.3384291600152725, 1.2496814441436483, 1.3452804496417787, 1.3605241605815352, 1.280363242470095, 1.1879540833230104, 1.4645607446879036, 1.359766773047716, 1.286952346049733, 1.2881938055509714, 1.4297775041195036, 1.304890875460618, 1.3804729169402057, 1.31829245743638, 1.2408468506370762, 1.115028122143615, 1.319394507383152, 1.3059521142316126, 1.211360698613568, 1.261597104688192, 1.298573656085811, 1.4582802662708811, 1.3809114152964457, 1.4262379195040684, 1.3599271202224423, 1.2322448616934991, 1.430300732716339, 1.312347710054141, 1.29841236970596, 1.183876895378331, 1.213970981205811, 1.272840166968513, 1.4812268696923134, 1.0372305653316196, 1.3401904243209424, 1.4480680210396808, 1.3375981463683728, 1.2983482363290135, 1.3139941872358172, 1.3243226483532669, 1.444547375749038, 1.3354327470950764, 1.4904613570156324, 1.3802816709113888, 1.315134963406152, 1.1447461326969939, 1.3797756180234808, 1.226697139966545, 1.4807583220668141, 1.3773472573621857, 1.213084930419504, 1.338227729079411, 1.263832188517367, 1.3447201643422708, 1.3193562049941034, 1.4064901983902076, 1.2175597190784764, 1.3628439092711884, 1.3143244565362893, 1.3953372874235817, 1.1957129186064008, 1.4710136632456365, 1.3178463114559817, 1.4215689587750708, 1.454961504179886, 1.4618667379197663, 1.2308495311763863, 1.1709771894673917, 1.3426608691570687, 1.3802845171421652, 1.4206814763472488, 1.276331718370586, 1.3736482282908093, 1.1316869175433935, 1.2165370251579253, 1.4212007853119877, 1.3366098131560062, 1.1799052587867738, 1.3069606415505204, 1.1835425678746998, 1.3402294739253813, 1.1406554671227467, 1.3419635939356345, 1.343364856351773, 1.2456680337832589, 1.4086085856418555, 1.2146147188493288, 1.293946332561271, 1.366182999903386, 1.299281369398152, 1.398421711598653, 1.453857989379219, 1.2282460578274481]",1.316418837,0.095061099,-0.041914198,0.00960078,0,FALSE,100
bt_4353--105/105_2445487.txt#0_0,0,2,1.358333035,"[1.3856579437516106, 1.6247104970806752, 1.1570414168600718, 1.0687728296908845, 1.3854810779446378, 1.3543455001055138, 0.9771326833537155, 1.4177363936865732, 1.2384867500468004, 0.8219136756164287, 1.10479587640196, 1.0387533492202954, 1.3831242933432955, 1.2371898475807632, 1.3689578379623322, 1.150371262064896, 1.0061193047017456, 1.2389465595800313, 1.0121270360626935, 0.919058820554518, 0.94910412758081, 1.1409047934940293, 1.3256623592378305, 1.0991183718525128, 1.34250189669283, 1.451777785758565, 1.4949862767475093, 1.3267085434078196, 1.4550430607257219, 1.1679635918396232, 1.5320915221271785, 1.100627227595279, 0.9898530206938214, 0.9803277108774697, 1.1487745047021072, 1.235110462412644, 1.2907823201182542, 1.031430424023419, 1.01144836043543, 1.3164376899462689, 1.3765455294571833, 0.983979733511997, 1.1283732049048862, 1.0890458979690836, 0.33351780346997945, 0.9609113756353649, 1.1576675168971138, 1.3455336307036798, 1.2440178623937665, 1.3497800470349657, 1.0924535163848792, 1.1170886909418536, 1.5346872265370766, 1.545617068620212, 1.4440951318267141, 1.320639421294485, 1.3153566406232433, 1.0634846452412554, 1.3851235984595076, 1.24889505984911, 1.1845072605390752, 1.2975095405881854, 1.0593571260668984, 1.164597910723671, 1.03485487205976, 1.463832714074273, 1.1720550016005031, 1.3059154139202211, 1.26179735703134, 1.2346005269752443, 1.406926106897517, 1.4095183307423322, 1.4965768183582293, 1.134260119251354, 1.0706152060693965, 1.5686260101948677, 1.1822507813208505, 1.1577163656844276, 0.6055334249729715, 1.2396965462636076, 1.6168165971305664, 1.4472217900369753, 1.5377204892920722, 1.3749635068272203, 1.3607676665727098, 1.3689232485150167, 0.9837436167445777, 1.0679145103721477, 1.0313733827195974, 1.3372103745503405, 1.1854517967784328, 1.4161514482786037, 1.3162187517926867, 0.921215698488987, 1.453203092568956, 1.2187018535530685, 1.0229424146999353, 1.5095072689420204, 1.3019464436264048, 1.3545618622934952]",1.225954939,0.21104683,-0.132378096,-0.02667273,0,FALSE,100
bt_4353--105/105_2445487.txt#0_0,0.5,0.5,1.358333035,"[1.362383651565972, 1.3463938412157705, 1.3243539695020567, 1.3567068532343467, 1.3605389931554028, 1.313283630095738, 1.3728430515560135, 1.254342644971404, 1.4018888318898637, 1.3406661336583552, 1.2178560560670255, 1.2563757118074894, 1.3210356068410503, 1.418180530133774, 1.3466783291180386, 1.247676738759356, 1.4029477699683996, 1.4162914815907186, 1.3347639204967985, 1.4517190746385733, 1.2481139115990199, 1.35521332150531, 1.3399661494624564, 1.3725017767135168, 1.4198118390624812, 1.4235624100308524, 1.3027693052408913, 1.3930179515402996, 1.3675450944741583, 1.3790012775066243, 1.2725998649784553, 1.334861248633425, 1.3346110714599115, 1.3844399145156665, 1.358907350779668, 1.3953464533712685, 1.316454167217555, 1.36682029494456, 1.3077160857120211, 1.3567693331733135, 1.3000056358517582, 1.392606272476874, 1.3394419678734988, 1.36808361659582, 1.406886474089223, 1.404804610231447, 1.3745573884709663, 1.2732678586343427, 1.3875911542142145, 1.2739100141524997, 1.3589590586901394, 1.3946004747738343, 1.312143709562574, 1.2921506905871618, 1.3631946253247085, 1.3259209654949675, 1.373138904576251, 1.2883065566811007, 1.3238459823233137, 1.3068293503033785, 1.2878001876115825, 1.3375371759400647, 1.3870421847235175, 1.2469207912000468, 1.334355023709374, 1.417297100834368, 1.335124131435243, 1.4179014744819172, 1.331767663368028, 1.3614239164207191, 1.3865192712035594, 1.3260511867119131, 1.357426345659131, 1.3894768430017743, 1.2394222564376278, 1.3555557908506117, 1.404273566156531, 1.3310239836361295, 1.3474025519551698, 1.3562299611683912, 1.298757428347702, 1.4828754387759662, 1.3307439562962922, 1.331059785088998, 1.3163701439267905, 1.2502896296563044, 1.317843902490539, 1.4033770385023645, 1.341313215510275, 1.330953480780592, 1.3396972376464575, 1.344522209703853, 1.4201646962341739, 1.426440372106166, 1.3397641350062983, 1.3703299290469042, 1.3055330959849156, 1.4116237839077486, 1.2608489385196484, 1.3043115322520724]",1.346145723,0.051073838,-0.012187312,0.499386066,0,FALSE,100
bt_4353--105/105_2445487.txt#0_0,0.5,1,1.358333035,"[1.2976811813957465, 1.2195089047356642, 1.1657088175583945, 1.3510626485598465, 1.2633980761235766, 1.3302490143257582, 1.2562024571580883, 1.3104058526483169, 1.335741589086886, 1.2949390850709976, 1.323950702359282, 1.2488539533842826, 1.3141306823662178, 1.329123096233187, 1.2511291799835365, 1.4777514489051855, 1.3161821331007189, 1.1975338103146163, 1.3254028225057506, 1.415750084347133, 1.275516355712082, 1.4030771198242857, 1.4134152906880144, 1.307092994333744, 1.1825930279674215, 1.2752944762990066, 1.247592584438125, 1.3387292624689255, 1.313637104603219, 1.44552367439492, 1.2893494695323733, 1.2071342888007526, 1.3443008502416132, 1.4401903604293833, 1.2297912817410475, 1.39113809226818, 1.373336073183622, 1.3801500750104212, 1.1957006663114784, 1.2401010901157385, 1.2733515026256366, 1.4467342165982189, 1.3426121791754753, 1.3347289793767756, 1.2709071522382405, 1.2645177120795865, 1.3371397551738056, 1.3290151231331977, 1.1641124349161909, 1.2795664653607242, 1.306027965167548, 1.3140207608586236, 1.3312888959220155, 1.4426373583983305, 1.1658730625500644, 1.3173945119843509, 1.3183616505967124, 1.2502244477453779, 1.2130990729993545, 1.3547779726976412, 1.2158136376476107, 1.1483419533241574, 1.2422923760494504, 1.338824801232042, 1.3585264509351018, 1.4542764809423063, 1.2478144921489955, 1.239520850029925, 1.1384363327653506, 1.4189980860351483, 1.476443290361755, 1.2971244633328436, 1.3486173516232025, 1.3413490013737013, 1.2569036948804098, 1.3390749350309825, 1.3068560401967648, 1.42517872702871, 1.3010334324426776, 1.4187381255993388, 1.2140298019237619, 1.2663400123620114, 1.4098130080039226, 1.2570504183903055, 1.4680926988528054, 1.394118615281979, 1.4217922278380073, 1.2055341582886911, 1.2833237684428254, 1.4340799790518484, 1.3877148080839168, 1.2903504247203013, 1.3905100161199304, 1.2545300612184844, 1.2891166088325363, 1.287502347081526, 1.230673005671723, 1.275393476292506, 1.354223640865908, 1.2483541297825567]",1.310514686,0.079276324,-0.047818349,0.511837155,0,FALSE,100
bt_4353--105/105_2445487.txt#0_0,0.5,2,1.358333035,"[1.1897583539783336, 1.0759828968110512, 1.3316176659551247, 1.1251200135161827, 1.1319667779451965, 1.2675788032664785, 1.07794299422344, 1.257246180238686, 1.2456430925698765, 0.8795381128096952, 0.9786553279702537, 1.2196405731806759, 1.0975658958191614, 1.6236086446297753, 1.3894964025121421, 1.2366056574103261, 1.4206950772452862, 1.3554881460839463, 0.9380987466484175, 1.175449157426183, 0.9807724178613021, 0.9756142603942557, 0.9363012870111114, 1.0873719217887354, 1.0680044282935732, 1.4729220832019048, 1.1147104832048227, 0.9967691421381863, 1.300105799447293, 1.3584387193540421, 1.2729411798571606, 0.9026362757956021, 1.3817223590678975, 1.2371761344381493, 0.8378344137434243, 1.3520101206304034, 1.1229690349283141, 1.2713670867523885, 1.0485030336773802, 0.8157702362945994, 1.2652639286563139, 0.7943581360221394, 1.3000502263601308, 0.8868475173249244, 1.363040165564597, 1.0245924633862802, 1.2355499503002567, 1.3959506244235333, 1.5065729980034028, 1.4048320879949987, 1.2745220553565961, 1.2567361117522504, 1.1995756886878082, 1.5575797073340527, 1.126332078504951, 1.2690189476009768, 1.2780058521952506, 1.136141830917503, 1.3372896936206344, 1.142938437085168, 1.1658088785853837, 1.315122432862366, 1.326972958793951, 1.1067579548009638, 1.2614831655673462, 0.7189209542115721, 1.2619868363407274, 0.9970826121728695, 1.2253338226652115, 0.995322828990626, 1.163225399427101, 1.417307794374373, 1.0727323408950904, 1.4113760260450317, 1.0971127133557939, 1.4655243415969081, 1.4355416082109984, 1.117646872656366, 1.40729798496687, 1.207601327520612, 1.4484238309757442, 1.4241133997225652, 1.3686068571153134, 1.439022369967582, 1.5063222345995746, 1.3632827104696839, 1.429516929411395, 0.8224171360348624, 1.1985820506386446, 1.0127440694133725, 1.2355418546065602, 0.986743012720762, 1.354861325052834, 1.5428487729385985, 1.0652682787171945, 1.1689189073961845, 1.5289869329654198, 1.3198587601464966, 1.3213306213810987, 1.1048929516589217]",1.211192793,0.190939375,-0.147140242,0.474669959,0,FALSE,100
bt_4353--105/105_2445487.txt#0_0,1,0.5,1.358333035,"[1.3403443036766662, 1.3762223998665157, 1.3350942942615032, 1.3042551395744248, 1.2663250874638186, 1.375852728335878, 1.338769209610957, 1.417552557258877, 1.3370114860112468, 1.3234595400617475, 1.3221886593837338, 1.2922636944703756, 1.2623617361274868, 1.3838561525961188, 1.3254918971627687, 1.2903127739221718, 1.3403716467029048, 1.3961293554080214, 1.2628133106710857, 1.3706213620510452, 1.3531412688060376, 1.4326567576172784, 1.2643715542570084, 1.2792899326870977, 1.4302864194554614, 1.3457915502296585, 1.342867437637901, 1.348161862890131, 1.251978031115038, 1.4101320449271046, 1.3654519279583741, 1.416573941304127, 1.3459537849495535, 1.3206930258677676, 1.4041179098834746, 1.3651781483616445, 1.3586759620218198, 1.266171819727377, 1.3514490201175893, 1.3038076364740794, 1.319784518608004, 1.355340355148672, 1.2951203039511068, 1.263611183923158, 1.3341419389412286, 1.3697017032866572, 1.2800267495299111, 1.3836511511018226, 1.324451244733083, 1.3542165807745599, 1.3215733418351825, 1.387916734293177, 1.2745251275093976, 1.352040669211109, 1.4654635000787621, 1.3361468435949364, 1.2888655505305437, 1.3625314392327128, 1.2881943779786398, 1.3215882383977735, 1.327914809068111, 1.3419254607790172, 1.2666303660464098, 1.4172187861926773, 1.3166811245547496, 1.3689855603823458, 1.3493756857216272, 1.3708951949552355, 1.3270747075111733, 1.3982964860867972, 1.297771893959429, 1.2969897741235659, 1.3640593121558762, 1.339220548250547, 1.3671245882021164, 1.3048717575464657, 1.3321305706839859, 1.4039725569939339, 1.3236483731424151, 1.3479919579284514, 1.2512106957046525, 1.3169030007523228, 1.3579862263845461, 1.3799442510432296, 1.3582066014962884, 1.3269876544933576, 1.3331079703015485, 1.3270120096218585, 1.3608629124904443, 1.2595900879968953, 1.2959601415898798, 1.3662296950917838, 1.3119370460329167, 1.2924637013058202, 1.318427109906276, 1.371812366011221, 1.3517221303146987, 1.3165680718664854, 1.3009292390476628, 1.3319105148405965]",1.336894899,0.044248565,-0.021438136,1.003377803,0,FALSE,100
bt_4353--105/105_2445487.txt#0_0,1,1,1.358333035,"[1.481183643841785, 1.3631634760641964, 1.1335960872889432, 1.2702779045842512, 1.350574644330108, 1.3945712757041309, 1.3860156286559608, 1.3456041455087349, 1.3197028572457237, 1.4230220982924306, 1.2283364895334374, 1.404303261329809, 1.3476503907438633, 1.4023712188748036, 1.1860817277202, 1.1535220916755873, 1.398216830363788, 1.2187565528277002, 1.1792668156143813, 1.0903616804335732, 1.3620348383309173, 1.3548279569513384, 1.4619982253679635, 1.2623846508971193, 1.3004389554787568, 1.2373187085744175, 1.3983510682390368, 1.1228045084722624, 1.3469260918839385, 1.3469976699065174, 1.3923235651443138, 1.3473700092476149, 1.1889240455590089, 1.285377117377018, 1.2095476152824811, 1.2503075310114684, 1.2636464693863132, 1.1950309051063281, 1.2924088223626713, 1.3636392602576644, 1.4684473873298722, 1.4242811591149056, 1.3797974649760385, 1.35519092506249, 1.4020331868068534, 1.3455423621670468, 1.3570169947057413, 1.4257939251484477, 1.2523107113262495, 1.2290082231765234, 1.2918311338448427, 1.2824022507939847, 1.4204643681365017, 1.2408109841637678, 1.4142929775789694, 1.3995470100817418, 1.264267418023424, 1.1203142991247792, 1.3760665946076522, 1.2425284609659757, 1.4019129929377387, 1.379853629361246, 1.4333567238850047, 1.3442578165470056, 1.2255339741038864, 1.3916612120388203, 1.2700976502755332, 1.2127029689489395, 1.2711644288665596, 1.4380264057526615, 1.3600507771431114, 1.2955822396833248, 1.3360918592853246, 1.3445429492167724, 1.3358048772663011, 1.2263315652012805, 1.1784974262437427, 1.3962111293192814, 1.2144666163777713, 1.3685814670460648, 1.3444696562867957, 1.2414661809673617, 1.2948221053735454, 1.2433777258904393, 1.4097134892349783, 1.1454072730444322, 1.3286870861061015, 1.2522982359919914, 1.392951622830379, 1.391489064628074, 1.2663069332458121, 1.3070429370617749, 1.3457430092384786, 1.2642360851919692, 1.2443659518985937, 1.181592682586385, 1.2877465175180798, 1.411874836941784, 1.3726713792582446, 1.3950168976389843]",1.312971931,0.088053509,-0.045361104,1.003494296,0,FALSE,100
bt_4353--105/105_2445487.txt#0_0,1,2,1.358333035,"[1.1917640291051086, 1.28656683976467, 1.2179462207182479, 1.2035557248945297, 1.1098900621008847, 1.1021977770052063, 1.200539941349624, 0.9890946948430154, 1.130702537437706, 1.1043847141365506, 0.8875881017566456, 1.60601458951884, 1.079747219066801, 1.5349618035679102, 1.2031187220539858, 1.2248786124792201, 1.3595452424067025, 1.3369361065025878, 1.5156307588104907, 1.0181379321983464, 0.6682322569019858, 1.2611447210222964, 1.3033261923804749, 1.0581991573608476, 0.9212134860131442, 1.018455944703087, 1.3781413666478954, 1.1165282384321307, 0.9684168550389313, 0.9432125490245258, 1.1391915391794902, 1.4367583909719106, 1.390569689888847, 1.4855089959879526, 1.1937572301549801, 0.9980449602176321, 1.2156444215907327, 1.3649868283336093, 0.9970373923092174, 1.3506729015951966, 0.9272658532125406, 1.0582849411080293, 1.2005106761976023, 1.2648203815598866, 1.2022688256273177, 1.3270498381923272, 1.3888207872350304, 1.286601478526219, 1.213086133683202, 1.4713192067902692, 1.297136725158413, 1.319422594960229, 1.1936025340450505, 1.0224901218320948, 1.1815600790847394, 1.3777492932713753, 1.397703553553863, 1.3136403765589015, 1.1402861297283837, 1.0890550597584863, 1.2686705113857994, 1.242671898011865, 0.940156557087481, 1.3583989483151742, 1.1097399232081722, 1.1933935516079004, 1.0876787116457467, 1.433273685691391, 0.8675952585002092, 1.0793543023507506, 1.1190364869396812, 1.473625032207159, 1.379090718850567, 1.2379166016322685, 1.1219181673495477, 1.2037646151651593, 1.1712395927020403, 1.1013840922291884, 1.0489922840784585, 1.3777984272698263, 0.7305612248626909, 1.0292282846941019, 1.0350315725694756, 1.2281749123988055, 1.4669311452432028, 1.3237439223980094, 1.3277686504495418, 1.214844297537291, 0.9088342906512353, 1.2637365559735299, 1.004949187773024, 1.2333134155928234, 1.045886427335874, 0.8875982039284296, 1.1753187777935363, 1.2199748901654301, 1.1341029393111686, 1.2088991040491592, 1.2642154109140396, 1.1944641446869495]",1.188981961,0.174538087,-0.169351074,0.958983104,0,FALSE,100
bt_4353--105/105_2445487.txt#0_0,2,0.5,1.358333035,"[1.3358512926682349, 1.367325346296641, 1.2853067398097695, 1.3755416860641176, 1.4040221181091312, 1.3827019405890646, 1.38470403652515, 1.3668414834136433, 1.3506459034299325, 1.3649858497821463, 1.3054112897428694, 1.2973961531746308, 1.3133550927216107, 1.3068512599541169, 1.235045607414121, 1.2965904191072373, 1.3486827283536438, 1.319332724051896, 1.3696246370000433, 1.3595927652701214, 1.2833386162208524, 1.3078928482757586, 1.3363860539567458, 1.4161059190045564, 1.3195318293830542, 1.3131085398676898, 1.279713874429924, 1.3830727074572557, 1.3851285821728077, 1.3026732836383927, 1.3483958303037227, 1.3538942135675527, 1.2763231836051663, 1.3043475160184916, 1.4031603178692125, 1.3647162758807405, 1.3257758097955754, 1.3183595253271547, 1.3355123517677885, 1.4282953151654498, 1.3215048325498073, 1.3436034492911246, 1.4154553788686797, 1.318877656129686, 1.407594900084649, 1.361432515666651, 1.335110476580729, 1.261361849955368, 1.425273085149989, 1.3349700670196103, 1.405537144222091, 1.381215245596061, 1.3461961212422755, 1.2877742447383158, 1.4018412627714054, 1.398701593644968, 1.33138597318552, 1.3213901232253302, 1.3739004364949257, 1.3772380715323866, 1.3113586852235735, 1.2958020943466988, 1.362327507754903, 1.3599171468534708, 1.4019860850962975, 1.4375426218600997, 1.4129345404811078, 1.4008032920473543, 1.3382135631701495, 1.3553047928660247, 1.299401076053164, 1.376624867663771, 1.361551893853613, 1.4171569082256832, 1.3402007014815145, 1.3979527808235916, 1.3102272953146623, 1.4059937697834857, 1.331609241946929, 1.3260308780058994, 1.290133034856181, 1.2562703985070391, 1.4172225350095524, 1.372359338449609, 1.4327237277817428, 1.2183632248127223, 1.3715375044694194, 1.3470275420022844, 1.3877594123619073, 1.2954486231697968, 1.3719992713308087, 1.3229777183426732, 1.3327861442264652, 1.3871572228680917, 1.372515680646315, 1.3608212650573261, 1.3162078602688405, 1.3855095006041207, 1.3102528273218663, 1.3454735428464224]",1.348433922,0.045602955,-0.009899113,1.993178446,0,FALSE,100
