Rank,Question_ID,SE_before,SE_mean,SE_std,Delta_SE,Correctness,Num_Answers,Avg_OverallLL,Min_OverallLL,Max_OverallLL,Std_OverallLL,Avg_Probability,Min_Probability,Max_Probability,Std_Probability,Avg_TokenCount,Min_TokenCount,Max_TokenCount,Avg_MeanTokenLL,Min_MeanTokenLL,Max_MeanTokenLL,Entropy_of_Probs,ProbRange
1,bt_1031--61/61_537330.txt#0_0,2.253578622836697,1.961847812419085,0.1421626524245819,-0.29173081041761195,0,10,-7.247258947999216,-17.538253744365647,-2.193932056427002,4.856781880028182,0.020196782545015994,2.4167580652498987e-08,0.11147754968999497,0.034481441412992454,4.7,2,15,-1.6017900041071698,-2.176717683672905,-1.096966028213501,0.0567456727411327,0.11147752552241431
2,bt_2892--150/150_2107251.txt#0_0,2.2034899018412024,1.902275707579987,0.16082246815584678,-0.30121419426121543,0,10,-9.681671566492877,-21.784990087151527,-3.4792540224734694,6.298320987036839,0.007131743668846409,3.458589485454338e-10,0.030830401243056072,0.009333866401951055,4.5,2,8,-2.0392870449965512,-2.723123760893941,-1.1886793546145782,0.02945893424254616,0.030830400897197123
3,tc_69--158/158_2486.txt#0_1,2.17035316404773,2.0149809515259194,0.10355717124992912,-0.15537221252181066,0,10,-11.968233359977603,-25.24693988240324,-2.4157970901578665,7.7929492134507505,0.013129874475168678,1.084909030403434e-11,0.08929613347781326,0.0278572780404204,8.8,4,22,-1.3446064311526447,-2.025485064717941,-0.34511387002255234,0.03629013155727418,0.08929613346696418
4,sfq_668--20/20_1363097.txt#0_1,2.161076702712969,1.990043274504562,0.11901538032023358,-0.17103342820840717,0,10,-5.308890993623936,-11.703375377692282,-2.0416354332119226,2.5433673059310453,0.02499348740770572,8.265871581929684e-06,0.12981623140150741,0.03876428134058656,4.2,2,6,-1.3256678617944515,-2.3406750755384564,-0.5682872572797351,0.06975140704901503,0.1298079655299255
5,bb_1997--80/80_876537.txt#0_1,2.151473257746013,2.0263192660858107,0.08070283444198577,-0.12515399166020247,0,10,-15.791562144912314,-34.95711034233682,-5.324247121810913,8.99832848796523,0.0005796459897617853,6.581424067596638e-16,0.004872017669624438,0.001450168865557825,15.2,3,40,-1.3349696966853373,-2.7441813111305238,-0.5606274940379846,0.00328446833735652,0.004872017669623779
6,dpql_3600--123/123_649287.txt#0_1,2.1459512279215547,1.9450202388437017,0.1252011972392417,-0.200930989077853,0,10,-10.45278424616481,-20.833915131981485,-3.7739299088716507,5.886180677726288,0.0034176296803187707,8.952526634340559e-10,0.02296164855639477,0.006731232737697874,7.0,3,14,-1.6080275621135982,-2.58435314707458,-0.5713847733510192,0.015095556587872736,0.022961647661142108
7,sfq_10516--89/89_1704034.txt#0_0,2.140178753229536,1.936080412299939,0.16738679360086017,-0.2040983409295971,0,10,-8.33891206921544,-15.002764293923974,-3.7981246635317802,3.4847359334072023,0.005060633436255272,3.0505788424865225e-07,0.022412763942788613,0.007851532655045651,4.4,2,6,-1.895467983865334,-2.5004607156539955,-0.8146067923866213,0.021226877949113647,0.022412458884904365
8,qw_8714--28/28_287982.txt#0_0,2.1386277971338683,1.9136364223124023,0.12928581796644428,-0.22499137482146603,0,10,-18.942516853463893,-48.41139486947213,-1.8534239907748997,16.009517393896814,0.01608913049123908,9.444921374890166e-22,0.15669970835732397,0.046877262218463576,14.5,2,35,-1.6163328446887164,-2.9490707516670227,-0.6724522690821215,0.03171549779049258,0.15669970835732397
9,qb_637--10/10_282457.txt#0_0,2.138220411726917,1.7908971803105758,0.1812899790875427,-0.34732323141634125,0,10,-8.463318416482071,-17.018503179308027,-2.7138232067227364,5.202756118150877,0.016704263367677337,4.064040048349518e-08,0.06628290841039446,0.025506032750211127,4.5,2,9,-1.8989694176313823,-3.786616325378418,-0.9046077355742455,0.05049519445743864,0.06628286776999397
10,sfq_8322--184/184_1656059.txt#0_0,2.134920527008191,1.911168184690652,0.14591681645729374,-0.22375234231753893,0,10,-15.10105235222727,-50.54549792967737,-5.767792237922549,13.107041325008542,0.0007361370340649527,1.1178130205882484e-22,0.0031266528052759633,0.0010970448099150562,6.8,3,26,-2.292778481303359,-3.5586481988430023,-1.4419480594806373,0.004601194610383082,0.0031266528052759633
