question_id,mu,delta_se_variance,delta_se_mean_abs,delta_se_max_abs
bb_1013--62/62_852710.txt#0_0,0,0.00023769,0.017863555,0.035062071
bb_1013--62/62_852710.txt#0_0,0.5,0.00042305,0.021926614,0.045066853
bb_1013--62/62_852710.txt#0_0,1,0.000490024,0.029294025,0.053626232
bb_1013--62/62_852710.txt#0_0,2,0.000337697,0.018697824,0.03943533
bb_1080--112/112_854470.txt#0_0,0,0.000160534,0.01040933,0.025028673
bb_1080--112/112_854470.txt#0_0,0.5,0.000108671,0.007185938,0.013645827
bb_1080--112/112_854470.txt#0_0,1,6.91E-05,0.015672663,0.025246743
bb_1080--112/112_854470.txt#0_0,2,0.000414634,0.01431808,0.035793021
bb_1106--42/42_855085.txt#0_0,0,5.81E-34,1.74E-16,1.90E-16
bb_1106--42/42_855085.txt#0_0,0.5,6.81E-34,1.82E-16,2.09E-16
bb_1106--42/42_855085.txt#0_0,1,3.11E-34,1.69E-16,1.90E-16
bb_1106--42/42_855085.txt#0_0,2,2.15E-34,1.81E-16,1.97E-16
bb_1194--11/11_846390.txt#0_1,0,0.019030122,0.129900337,0.285582019
bb_1194--11/11_846390.txt#0_1,0.5,0.016772804,0.12163352,0.267469117
bb_1194--11/11_846390.txt#0_1,1,0.01695729,0.128045758,0.274668095
bb_1194--11/11_846390.txt#0_1,2,0.016936406,0.125761968,0.272153597
bb_1614--48/48_867787.txt#0_1,0,0.000441049,0.012488214,0.036270811
bb_1614--48/48_867787.txt#0_1,0.5,2.31E-05,0.004355962,0.008931095
bb_1614--48/48_867787.txt#0_1,1,3.77E-05,0.005767966,0.009411947
bb_1614--48/48_867787.txt#0_1,2,5.06E-05,0.016489835,0.021241143
bb_1626--74/74_774368.txt#0_0,0,0.007215979,0.08034146,0.17592057
bb_1626--74/74_774368.txt#0_0,0.5,0.007267001,0.079622567,0.175818191
bb_1626--74/74_774368.txt#0_0,1,0.007196485,0.072565292,0.169055355
bb_1626--74/74_774368.txt#0_0,2,0.007346137,0.077653641,0.174596909
bb_1960--194/194_648540.txt#0_1,0,2.91E-05,0.012222357,0.017910171
bb_1960--194/194_648540.txt#0_1,0.5,1.38E-05,0.007271672,0.010576116
bb_1960--194/194_648540.txt#0_1,1,0.000159498,0.015329078,0.02944285
bb_1960--194/194_648540.txt#0_1,2,1.03E-07,0.006466099,0.006811397
bb_1997--80/80_876537.txt#0_1,0,0.003656545,0.053109638,0.121391441
bb_1997--80/80_876537.txt#0_1,0.5,0.003770893,0.053880107,0.123442536
bb_1997--80/80_876537.txt#0_1,1,0.003419708,0.051993166,0.118129502
bb_1997--80/80_876537.txt#0_1,2,0.003732708,0.056159089,0.125153992
bb_200--50/50_834132.txt#0_2,0,0.003611398,0.05143314,0.119879374
bb_200--50/50_834132.txt#0_2,0.5,0.002851335,0.044333832,0.104779346
bb_200--50/50_834132.txt#0_2,1,0.001778994,0.030773902,0.079299196
bb_200--50/50_834132.txt#0_2,2,0.00157609,0.030936906,0.076331927
bb_2276--42/42_883302.txt#0_1,0,1.15E-34,1.63E-16,1.75E-16
bb_2276--42/42_883302.txt#0_1,0.5,4.22E-34,1.72E-16,1.93E-16
bb_2276--42/42_883302.txt#0_1,1,8.63E-36,1.87E-16,1.90E-16
bb_2276--42/42_883302.txt#0_1,2,2.77E-34,1.85E-16,2.03E-16
bb_320--142/142_2934494.txt#0_0,0,0.029137987,0.146647276,0.339925311
bb_320--142/142_2934494.txt#0_0,0.5,0.0276752,0.146282172,0.334503794
bb_320--142/142_2934494.txt#0_0,1,0.024104777,0.141060434,0.316873922
bb_320--142/142_2934494.txt#0_0,2,0.024919208,0.14307391,0.321733085
bb_3277--172/172_905779.txt#0_0,0,5.75E-05,0.011256201,0.019508359
bb_3277--172/172_905779.txt#0_0,0.5,0.000100568,0.0058959,0.017475602
bb_3277--172/172_905779.txt#0_0,1,6.64E-05,0.00668061,0.016035133
bb_3277--172/172_905779.txt#0_0,2,6.10E-06,0.00320848,0.005802018
bb_3301--62/62_294292.txt#0_1,0,0.000516868,0.017783083,0.043694359
bb_3301--62/62_294292.txt#0_1,0.5,0.000665209,0.024537304,0.053561381
bb_3301--62/62_294292.txt#0_1,1,0.000656218,0.023971928,0.052724806
bb_3301--62/62_294292.txt#0_1,2,0.000617312,0.023292728,0.051280029
bb_3732--157/157_915760.txt#0_0,0,0.000604932,0.024635081,0.052209065
bb_3732--157/157_915760.txt#0_0,0.5,0.000556655,0.025009342,0.051237692
bb_3732--157/157_915760.txt#0_0,1,0.000576445,0.024163775,0.051009772
bb_3732--157/157_915760.txt#0_0,2,0.000617222,0.024535542,0.052514317
bb_3805--121/121_2943039.txt#0_2,0,0.003053255,0.048106437,0.110868501
bb_3805--121/121_2943039.txt#0_2,0.5,0.002969583,0.042910373,0.104880033
bb_3805--121/121_2943039.txt#0_2,1,0.002619634,0.042026392,0.100345153
bb_3805--121/121_2943039.txt#0_2,2,0.003765621,0.053636694,0.123287889
bb_3892--168/168_918990.txt#0_0,0,0.022269499,0.125152528,0.294556441
bb_3892--168/168_918990.txt#0_0,0.5,0.022713602,0.129589778,0.300638241
bb_3892--168/168_918990.txt#0_0,1,0.021151259,0.140476794,0.304416494
bb_3892--168/168_918990.txt#0_0,2,0.025539603,0.147428959,0.327371598
bb_4368--85/85_456496.txt#0_2,0,2.79E-34,1.76E-16,1.95E-16
bb_4368--85/85_456496.txt#0_2,0.5,2.30E-34,1.79E-16,1.95E-16
bb_4368--85/85_456496.txt#0_2,1,8.18E-35,1.62E-16,1.69E-16
bb_4368--85/85_456496.txt#0_2,2,1.14E-33,1.68E-16,1.99E-16
bb_5116--124/124_2680471.txt#0_0,0,0.001119984,0.025799939,0.063917304
bb_5116--124/124_2680471.txt#0_0,0.5,0.000921936,0.02842761,0.063004686
bb_5116--124/124_2680471.txt#0_0,1,0.001410636,0.034727279,0.077331675
bb_5116--124/124_2680471.txt#0_0,2,0.00139562,0.0387206,0.080783491
bb_5507--150/150_954054.txt#0_1,0,5.10E-06,0.002079681,0.00443935
bb_5507--150/150_954054.txt#0_1,0.5,4.27E-05,0.014670872,0.020681337
bb_5507--150/150_954054.txt#0_1,1,0.000544272,0.020593331,0.047299755
bb_5507--150/150_954054.txt#0_1,2,4.42E-05,0.005499975,0.007487538
bb_618--61/61_2669551.txt#0_1,0,0.000455312,0.022747486,0.046098488
bb_618--61/61_2669551.txt#0_1,0.5,0.000444838,0.022640561,0.046058991
bb_618--61/61_2669551.txt#0_1,1,0.000207715,0.016785705,0.032211074
bb_618--61/61_2669551.txt#0_1,2,0.000373929,0.021215781,0.042456093
bb_6913--109/109_984790.txt#0_0,0,0.009626362,0.100350235,0.210589889
bb_6913--109/109_984790.txt#0_0,0.5,0.011142443,0.108513662,0.226321522
bb_6913--109/109_984790.txt#0_0,1,0.010450376,0.103632021,0.218205047
bb_6913--109/109_984790.txt#0_0,2,0.009425987,0.091782986,0.201402135
bb_6957--37/37_265768.txt#0_0,0,0.000361054,0.020799536,0.042546941
bb_6957--37/37_265768.txt#0_0,0.5,0.000561855,0.024470673,0.051223956
bb_6957--37/37_265768.txt#0_0,1,0.000165641,0.013132755,0.027805185
bb_6957--37/37_265768.txt#0_0,2,0.000172211,0.01009367,0.025135719
bb_7225--113/113_991549.txt#0_0,0,0.000128272,0.009332867,0.022376375
bb_7225--113/113_991549.txt#0_0,0.5,0.000185039,0.008367413,0.022019545
bb_7225--113/113_991549.txt#0_0,1,0.000187265,0.010914726,0.013361571
bb_7225--113/113_991549.txt#0_0,2,0.000290169,0.009865123,0.029413033
bb_7700--19/19_416201.txt#0_1,0,0.007176176,0.085374041,0.180128532
bb_7700--19/19_416201.txt#0_1,0.5,0.00945255,0.094734539,0.204042333
bb_7700--19/19_416201.txt#0_1,1,0.008793378,0.089151665,0.194690024
bb_7700--19/19_416201.txt#0_1,2,0.007741465,0.08688728,0.185386386
bb_7976--4/4_843121.txt#0_0,0,0.000865551,0.017442864,0.049465567
bb_7976--4/4_843121.txt#0_0,0.5,0.001125868,0.02860177,0.066989157
bb_7976--4/4_843121.txt#0_0,1,0.001573529,0.025661746,0.071457242
bb_7976--4/4_843121.txt#0_0,2,0.001353171,0.022444032,0.060013429
bb_8828--196/196_572064.txt#0_1,0,6.62E-34,6.25E-17,9.21E-17
bb_8828--196/196_572064.txt#0_1,0.5,9.00E-35,5.11E-17,6.00E-17
bb_8828--196/196_572064.txt#0_1,1,2.48E-34,5.66E-17,6.88E-17
bb_8828--196/196_572064.txt#0_1,2,1.80E-34,5.18E-17,6.22E-17
bb_8929--172/172_1033394.txt#0_0,0,0.005325466,0.059762329,0.142702791
bb_8929--172/172_1033394.txt#0_0,0.5,0.006535257,0.079263961,0.16999303
bb_8929--172/172_1033394.txt#0_0,1,0.003537933,0.053539793,0.120617065
bb_8929--172/172_1033394.txt#0_0,2,0.005359884,0.070228415,0.152732736
bb_9139--113/113_1038621.txt#0_1,0,0.026012291,0.169414944,0.349418831
bb_9139--113/113_1038621.txt#0_1,0.5,0.017716835,0.126610251,0.276385339
bb_9139--113/113_1038621.txt#0_1,1,0.023897432,0.152769598,0.326208311
bb_9139--113/113_1038621.txt#0_1,2,0.028394938,0.157851479,0.347523581
bb_9204--170/170_1040261.txt#0_2,0,3.58E-05,0.005604554,0.010871905
bb_9204--170/170_1040261.txt#0_2,0.5,0.000256654,0.009677665,0.026365243
bb_9204--170/170_1040261.txt#0_2,1,0.00029103,0.013496088,0.032954166
bb_9204--170/170_1040261.txt#0_2,2,0.000237239,0.01786482,0.035352882
bb_9463--32/32_2691228.txt#0_2,0,0.00360856,0.054120546,0.122232834
bb_9463--32/32_2691228.txt#0_2,0.5,0.003454784,0.052973097,0.11951476
bb_9463--32/32_2691228.txt#0_2,1,0.002750637,0.043422447,0.102868928
bb_9463--32/32_2691228.txt#0_2,2,0.003854314,0.056724163,0.126968836
