mu,sigma,Mean_|ΔSE|,Pearson_r,Pearson_p,Spearman_ρ,Spearman_p,Bias,SE_Variance,RMSE,Mean_SE_std
0,0.5,0.008103847,0.999949374,0,0.998717662,0,-0.006653839,0.009493868,0.011583685,0.03468362
0,1,0.029848744,0.999499059,0,0.998069953,0,-0.02686478,0.032739204,0.042318935,0.068582798
0,2,0.111547743,0.995311062,0,0.993572647,0,-0.106908038,0.109059042,0.152621979,0.135312504
0.5,0.5,0.008023906,0.999950426,0,0.998865842,0,-0.006357842,0.009261298,0.011224053,0.03511874
0.5,1,0.029755099,0.999511363,0,0.998110736,0,-0.026122338,0.031952424,0.041240532,0.069370658
0.5,2,0.11088356,0.995311322,0,0.993416308,0,-0.105296006,0.108082396,0.150797376,0.135958003
1,0.5,0.008182498,0.999948921,0,0.998803589,0,-0.006744525,0.009533648,0.011668412,0.034796748
1,1,0.029895862,0.999517548,0,0.998000152,0,-0.026776477,0.032246737,0.041883555,0.068628361
1,2,0.11197719,0.995269137,0,0.993348288,0,-0.106841477,0.108485251,0.152166777,0.135029055
2,0.5,0.007874878,0.999959112,0,0.998822762,0,-0.00653313,0.00897625,0.011092945,0.034787717
2,1,0.029652111,0.999549699,0,0.998080125,0,-0.026535422,0.031953915,0.041504562,0.06903156
2,2,0.11190639,0.995593779,0,0.993708264,0,-0.106452464,0.107860568,0.151449478,0.135675766
