question_id,mu,sigma,se_before,se_mean,se_std,delta_se,question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10
sfq_1377--91/91_1497797.txt#0_1,0.0,0.5,-4.44e-16,1.908472468,0.034470744,-0.018188491,,,,,,,,,,,
sfq_1377--91/91_1497797.txt#0_1,0.0,1.0,-4.44e-16,1.863611878,0.076702958,-0.063049081,,,,,,,,,,,
sfq_1377--91/91_1497797.txt#0_1,0.0,2.0,-4.44e-16,1.695726757,0.160308094,-0.230934202,,,,,,,,,,,
sfq_1377--91/91_1497797.txt#0_1,0.5,0.5,-4.44e-16,1.910904305,0.033320059,-0.015756654,,,,,,,,,,,
sfq_1377--91/91_1497797.txt#0_1,0.5,1.0,-4.44e-16,1.865541032,0.068568151,-0.061119927,,,,,,,,,,,
sfq_1377--91/91_1497797.txt#0_1,0.5,2.0,-4.44e-16,1.698381644,0.161184081,-0.228279315,,,,,,,,,,,
sfq_1377--91/91_1497797.txt#0_1,1.0,0.5,-4.44e-16,1.91347611,0.03421432,-0.013184849,,,,,,,,,,,
sfq_1377--91/91_1497797.txt#0_1,1.0,1.0,-4.44e-16,1.869053104,0.071846521,-0.057607856,,,,,,,,,,,
sfq_1377--91/91_1497797.txt#0_1,1.0,2.0,-4.44e-16,1.675828071,0.152716535,-0.250832888,,,,,,,,,,,
sfq_1377--91/91_1497797.txt#0_1,2.0,0.5,-4.44e-16,1.916845705,0.037924345,-0.009815254,,,,,,,,,,,
sfq_1377--91/91_1497797.txt#0_1,2.0,1.0,-4.44e-16,1.879520693,0.081223344,-0.047140266,,,,,,,,,,,
sfq_1377--91/91_1497797.txt#0_1,2.0,2.0,-4.44e-16,1.719709879,0.172373199,-0.20695108,,,,,,,,,,,
wh_4269--173/173_235742.txt#0_0,0.0,0.5,-2.22e-16,1.46490677,0.025824288,-0.001307126,,,,,,,,,,,
wh_4269--173/173_235742.txt#0_0,0.0,1.0,-2.22e-16,1.455049512,0.052047781,-0.011164385,,,,,,,,,,,
wh_4269--173/173_235742.txt#0_0,0.0,2.0,-2.22e-16,1.402142581,0.106016822,-0.064071316,,,,,,,,,,,
wh_4269--173/173_235742.txt#0_0,0.5,0.5,-2.22e-16,1.464613998,0.024963439,-0.001599898,,,,,,,,,,,
wh_4269--173/173_235742.txt#0_0,0.5,1.0,-2.22e-16,1.459020364,0.048211517,-0.007193532,,,,,,,,,,,
wh_4269--173/173_235742.txt#0_0,0.5,2.0,-2.22e-16,1.405931039,0.097658588,-0.060282857,,,,,,,,,,,
